city_id,city_name,district_id,district_name,urban_id,urban_name,id,display_name,search_display_name,latitude,longitude
1,თბილისი,4,ვაკე-საბურთალო,47,საბურთალო,1587,შარტავას ქ.,შარტავას ქუჩა,41.728121,44.772387
1,თბილისი,6,ძველი თბილისი,64,ვერა,1585,შარაშიძის ქ.,შარაშიძის ქუჩა,41.709444,44.780865
1,თბილისი,6,ძველი თბილისი,63,ელია,1594,შაქრიანის ქ.,შაქრიანის ქუჩა,41.700379,44.817733
1,თბილისი,4,ვაკე-საბურთალო,47,საბურთალო,1573,შავგულიძის ქ.,შავგულიძის ქუჩა,41.726289,44.722998
1,თბილისი,4,ვაკე-საბურთალო,47,საბურთალო,1576,შავიშვილის ქ.,შავიშვილის ქუჩა,41.7189,44.723369
1,თბილისი,2,თბილისის შემოგარენი,19,ტაბახმელა,1577,შავნაბადას ქ.,შავნაბადას ქუჩა,41.651289,44.791265
1,თბილისი,4,ვაკე-საბურთალო,38,ვაკე,1588,შატბერაშვილის ქ.,შატბერაშვილის ქუჩა,41.703595,44.771701
1,თბილისი,6,ძველი თბილისი,67,სოლოლაკი,3074,შარდენი ჟ. ქ.,Jan Shardeni St,41.690503,44.808402
1,თბილისი,2,თბილისის შემოგარენი,16,კიკეთი,7721,შატბერაშვილი გ. ქ.,Giorgi Shatberashvili St,41.646619,44.642248
1,თბილისი,6,ძველი თბილისი,61,აბანოთუბანი,1575,შავთელის შესახვევი,შავთელის შესახვევი,41.695625,44.806565
1,თბილისი,1,გლდანი-ნაძალადევი,10,ნაძალადევი,1669,ცინცაძე შალვას ქ.,ცინცაძე შალვას ქუჩა,41.737471,44.797546
1,თბილისი,6,ძველი თბილისი,65,კრწანისი,1578,შავნაბადას შესახვევი,შავნაბადას შესახვევი,41.685337,44.815965
1,თბილისი,4,ვაკე-საბურთალო,30,დიღომი 1-9,4511,ქ. შარაშიძის ქ.,ქ. შარაშიძის ქუჩა,41.804962,44.773782
1,თბილისი,4,ვაკე-საბურთალო,38,ვაკე,1591,შატბერაშვილის 1 ჩიხი,შატბერაშვილის 1 ჩიხი,41.704874,44.77424
1,თბილისი,4,ვაკე-საბურთალო,38,ვაკე,1592,შატბერაშვილის 2 ჩიხი,შატბერაშვილის 2 ჩიხი,41.702837,44.769767
1,თბილისი,2,თბილისის შემოგარენი,19,ტაბახმელა,1579,შავნაბადას 1 შესახვევი,შავნაბადას 1 შესახვევი,41.649503,44.766703
1,თბილისი,4,ვაკე-საბურთალო,38,ვაკე,1589, შატბერაშვილის I შესახვევი, შატბერაშვილის I შესახვევი,41.705085,44.774786
1,თბილისი,4,ვაკე-საბურთალო,38,ვაკე,1590,შატბერაშვილის II შესახვევი,შატბერაშვილის II შესახვევი,41.704429,44.770443
1,თბილისი,1,გლდანი-ნაძალადევი,10,ნაძალადევი,1671,ცინცაძე შალვას 1 შესახვევი,ცინცაძე შალვას 1 შესახვევი,41.736491,44.80124
1,თბილისი,1,გლდანი-ნაძალადევი,10,ნაძალადევი,1672,ცინცაძე შალვას 2 შესახვევი,ცინცაძე შალვას 2 შესახვევი,41.736939,44.799516
1,თბილისი,2,თბილისის შემოგარენი,22,წყნეთი,7065,შერვაშიძე გ. I შეს.,Giorgi Shervashidze I Turn,41.692696,44.696311
