myhome_id,myhome_name,myhome_sub,ss_id,ss_name,ss_sub,score,method
"1242","რუსთაველის გამზირი #5-37, 10-54","მთაწმინდა","968","გრიბოედოვის ქ.","მთაწმინდა",100,Geospatial
"17567","გურამიშვილის გამზირი","ნაძალადევი","1186","გურამიშვილის გამზ. (ნაძალადევი)","ნაძალადევი",100,SubDistrict
"406","დავით გურამიშვილის გამზირი #35-41","ნაძალადევი","2630","გ. გურამიშვილის ქ.","ორთაჭალა",91,Global
"270","გაბისკირიას ქუჩა; მოედანი; შესახვევი","ჩუღურეთი","1308","გაბისკირიას ქ.","ივერთუბანი",100,Global
"1067","მცხეთის ქუჩა; გას; 1 შესახვევი","ვაკე","29","მცხეთის ქ.","ვაკე",100,Geospatial
"292","გეგუთის ქ.","ლოტკინი","442","გეგუთის ქ.","ნაძალადევი",100,District
"295","გეზათის ქ.","ისანი","181","გეზათის ქ.","ისანი",100,SubDistrict
"294","გედევანიშვილის ჩიხი","ელია","839","გედევანიშვილის ქ.","ავლაბარი",100,District
"297","გელათის I ჩიხი","ავლაბარი","840","გელათის ქ.","ავლაბარი",100,SubDistrict
"298","გელათის II ჩიხი","ავლაბარი","840","გელათის ქ.","ავლაბარი",100,SubDistrict
"301","გელოვანი მირზას ქ.","ვეძისი","140","მ.გელოვანის ქ.","ვეძისი",88,SubDistrict
"4498","ა. გელოვანის ქ.","დიღომი 1-9","1090","ა.გელოვანის ქ.","საბურთალო",100,District
"4914","გ. გეხტმანის ქ.","დიდი დიღომი","1429","გეხტმანის ქ.","სოფ. დიღომი",100,District
"302","გენერალ კვინიტაძის ქ.","ჩუღურეთი","48","გენერალ კვინიტაძის ქ.","დიდუბე",100,District
"4524","ა. გელოვანის I შეს.","დიღომი 1-9","1090","ა.გელოვანის ქ.","საბურთალო",100,District
"4526","ა. გელოვანის II ჩიხ.","დიღომი 1-9","1090","ა.გელოვანის ქ.","საბურთალო",100,District
"4525","ა. გელოვანის III ჩიხ.","დიღომი 1-9","1090","ა.გელოვანის ქ.","საბურთალო",100,District
"296","გელათის ქუჩა; შესახვევი;","ავლაბარი","840","გელათის ქ.","ავლაბარი",100,SubDistrict
"293","გიორგი გედევანიშვილის ქ.","ელია","839","გედევანიშვილის ქ.","ავლაბარი",100,District
"51836","გიორგი გეგეჭკორის ქ. (შანხაის დასახლება)","საბურთალო","1309","გეგეჭკორის ქ.","საბურთალო",100,Geospatial
"312","გვეტაძის ქ.","დიდუბე","636","გვეტაძის ქ.","დიდუბე",100,SubDistrict
"304","გვაზაურის ქ.","ნაძალადევი","580","გვაზაურის ქ.","სანზონა",100,District
"9078","გვირილების ქ.","დიდი დიღომი","1300","გვირილების ქ.","დიდი დიღომი",100,SubDistrict
"311","გვაზაურის ხევი","ნაძალადევი","580","გვაზაურის ქ.","სანზონა",100,District
"6253","გვაზავა გ, ქ,","ნავთლუღი","1406","გვაზავას ქ.","აფრიკის დას",100,District
"6254","გვაზავას I შეს.","ნავთლუღი","1406","გვაზავას ქ.","აფრიკის დას",100,District
"6256","გვაზავას I ჩიხ.","ნავთლუღი","1406","გვაზავას ქ.","აფრიკის დას",100,District
"308","გვაზაურის I ჩიხი","ნაძალადევი","580","გვაზაურის ქ.","სანზონა",100,District
"6255","გვაზავას II ჩიხ.","ნავთლუღი","1406","გვაზავას ქ.","აფრიკის დას",100,District
"309","გვაზაურის II ჩიხი","ნაძალადევი","580","გვაზაურის ქ.","სანზონა",100,District
"310","გვაზაურის III ჩიხი","ნაძალადევი","580","გვაზაურის ქ.","სანზონა",100,District
"305","გვაზაურის I შესახვევი","ნაძალადევი","580","გვაზაურის ქ.","სანზონა",100,District
"306","გვაზაურის II შესახვევი","ნაძალადევი","580","გვაზაურის ქ.","სანზონა",100,District
"2782","წყნეთის გზატკეცილი","ბაგები","52","წყნეთის გზატკეცილი","ბაგები",100,SubDistrict
"1249","რუსთავის გზატკეცილი","ფონიჭალა","255","რუსთავის გზატკეცილი","ფონიჭალა",100,SubDistrict
"670","თიანეთის გზატკეცილიეცილი","გლდანი","379","თიანეთის გზატკეცილი,","გლდანი",86,SubDistrict
"1765","წყნეთის გზატკეცილი I ჩიხ.","ბაგები","52","წყნეთის გზატკეცილი","ბაგები",100,SubDistrict
"1253","რუსთავის გზატკეცილი 2 ჩიხი","ფონიჭალა","255","რუსთავის გზატკეცილი","ფონიჭალა",100,SubDistrict
"1254","რუსთავის გზატკეცილი 3 ჩიხი","ფონიჭალა","255","რუსთავის გზატკეცილი","ფონიჭალა",100,SubDistrict
"1255","რუსთავის გზატკეცილი 4 ჩიხი","ფონიჭალა","255","რუსთავის გზატკეცილი","ფონიჭალა",100,SubDistrict
"1256","რუსთავის გზატკეცილი 5 ჩიხი","ფონიჭალა","255","რუსთავის გზატკეცილი","ფონიჭალა",100,SubDistrict
"1257","რუსთავის გზატკეცილი 6 ჩიხი","ფონიჭალა","255","რუსთავის გზატკეცილი","ფონიჭალა",100,SubDistrict
"775","კახეთის გზატკეცილი. #1ა, 1ბ","სამგორი","1164","კახეთის გზატკეცილი (სამგორი)","სამგორი",83,SubDistrict
"1763","წყნეთის გზატკეცილი II ჩიხ.","ბაგები","52","წყნეთის გზატკეცილი","ბაგები",100,SubDistrict
"1764","წყნეთის გზატკეცილი III ჩიხ.","ბაგები","52","წყნეთის გზატკეცილი","ბაგები",100,SubDistrict
"774","კახეთის გზატკეცილი. #15, 63-67","სამგორი","1183","კახეთის გზატკეცილი (ლილო)","ლილო",86,District
"762","კანდელაკის ქუჩა (თიანეთის გზატ.)","გლდანი","393","მიქატაძის ქ.","გლდანი",100,Geospatial
"776","კახეთის გზატკეცილი. #75, 83, 89,69","სამგორი","1183","კახეთის გზატკეცილი (ლილო)","ლილო",86,District
"773","კახეთის გზატკეცილი","ლილო","1183","კახეთის გზატკეცილი (ლილო)","ლილო",100,SubDistrict
"1021","მიქატაძის ქუჩა (თიანეთის გზატკეცილი.)","გლდანი","393","მიქატაძის ქ.","გლდანი",100,Geospatial
"16101","კოჯრის გზატკეცილი","მთაწმინდა","988","კოჯრის გზატკეცილი","მთაწმინდა",100,SubDistrict
"1827","ხერგიანი მიხეილის ქუჩა(თიანეთის გზატკეცილი.)","გლდანი","393","მიქატაძის ქ.","გლდანი",100,Geospatial
"772","კახეთის გზატკეცილი. #1, 3ა, 8, 17-23, 34-50","სამგორი","1183","კახეთის გზატკეცილი (ლილო)","ლილო",86,District
"777","კახეთის გზატკეცილი. მე-7, 12, 13 კილომეტრი","სამგორი","1183","კახეთის გზატკეცილი (ლილო)","ლილო",86,District
"313","გივიშვილის ქ.","კუკია","443","გივიშვილის ქ.","კუკია",100,SubDistrict
"4747","თეთრი გიორგის ქ.","სოფ. დიღომი","1568","თეთრი გიორგის ქ.","სოფ. დიღომი",100,SubDistrict
"1902","ჯიბლაძე გიორგის ქ.","აბანოთუბანი","969","გუდიაშვილის მოედ.","მთაწმინდა",100,Geospatial
"2999","გიგო ზაზიაშვილის ქ.","ჩუღურეთი","440","გ.ზაზიაშვილის ქ.","ჩუღურეთი",90,SubDistrict
"1918","გიგა ლორთქიფანიძის ქ.","სოლოლაკი","1269","ლორთქიფანიძის ქ.","ლილო",100,Global
"4819","თეთრი გიორგის I ჩიხ.","სოფ. დიღომი","1568","თეთრი გიორგის ქ.","სოფ. დიღომი",100,SubDistrict
"4823","თეთრი გიორგის V ჩიხ.","სოფ. დიღომი","1568","თეთრი გიორგის ქ.","სოფ. დიღომი",100,SubDistrict
